timestamp,pool_hashrate,network_hashrate,network_height,pool_blocks_found,last_block_found,last_template_fetched,round_hashrate,round_hashes,payment_threshold,pool_fee,pool_port,pool_ssl_port,allow_self_select,connected_miners
2025-05-18 08:34:22,38807481,5025151012,3414266,3,1747468615,1747557259,0,1546344080000,0,0,4242,0,1,1
2025-05-18 08:34:23,38807481,5025151012,3414266,3,1747468615,1747557259,0,1546414080000,0,0,4242,0,1,1
2025-05-18 08:34:25,38807481,5025151012,3414266,3,1747468615,1747557259,0,1546504080000,0,0,4242,0,1,1
2025-05-18 08:34:26,38807481,5025151012,3414266,3,1747468615,1747557259,0,1546544080000,0,0,4242,0,1,1
2025-05-18 08:34:28,38807481,5025151012,3414266,3,1747468615,1747557259,0,1546584080000,0,0,4242,0,1,1
2025-05-18 08:34:29,38809670,5025151012,3414266,3,1747468615,1747557269,0,1546654080000,0,0,4242,0,1,1
2025-05-18 08:34:31,38809670,5025151012,3414266,3,1747468615,1747557269,0,1546664080000,0,0,4242,0,1,1
2025-05-18 08:34:32,38809670,5025151012,3414266,3,1747468615,1747557269,0,1546704080000,0,0,4242,0,1,1
2025-05-18 08:34:34,38809670,5025151012,3414266,3,1747468615,1747557269,0,1546764080000,0,0,4242,0,1,1
2025-05-18 08:34:35,38809670,5025151012,3414266,3,1747468615,1747557269,0,1546844080000,0,0,4242,0,1,1
2025-05-18 08:34:37,38809670,5025151012,3414266,3,1747468615,1747557269,0,1546934080000,0,0,4242,0,1,1
2025-05-18 08:34:39,38809670,5025151012,3414266,3,1747468615,1747557269,0,1546954080000,0,0,4242,0,1,1
2025-05-18 08:34:40,38495302,5025151012,3414266,3,1747468615,1747557279,0,1547014080000,0,0,4242,0,1,1
2025-05-18 08:34:42,38495302,5025151012,3414266,3,1747468615,1747557279,0,1547094080000,0,0,4242,0,1,1
2025-05-18 08:34:43,38495302,5025151012,3414266,3,1747468615,1747557279,0,1547174080000,0,0,4242,0,1,1
2025-05-18 08:34:45,38495302,5025151012,3414266,3,1747468615,1747557279,0,1547234080000,0,0,4242,0,1,1
2025-05-18 08:34:46,38495302,5025151012,3414266,3,1747468615,1747557279,0,1547254080000,0,0,4242,0,1,1
2025-05-18 08:34:48,38495302,5025151012,3414266,3,1747468615,1747557279,0,1547304080000,0,0,4242,0,1,1
2025-05-18 08:34:49,38495302,5025151012,3414266,3,1747468615,1747557279,0,1547324080000,0,0,4242,0,1,1
2025-05-18 08:34:51,38438013,5025151012,3414266,3,1747468615,1747557289,0,1547414080000,0,0,4242,0,1,1
2025-05-18 08:34:52,38438013,5025151012,3414266,3,1747468615,1747557289,0,1547484080000,0,0,4242,0,1,1
2025-05-18 08:34:54,38438013,5025151012,3414266,3,1747468615,1747557289,0,1547494080000,0,0,4242,0,1,1
2025-05-18 08:34:55,38438013,5025151012,3414266,3,1747468615,1747557289,0,1547514080000,0,0,4242,0,1,1
2025-05-18 08:34:57,38438013,5025151012,3414266,3,1747468615,1747557289,0,1547594080000,0,0,4242,0,1,1
2025-05-18 08:34:58,38438013,5025151012,3414266,3,1747468615,1747557289,0,1547654080000,0,0,4242,0,1,1
2025-05-18 08:35:00,12693010,5025151012,3414266,3,1747468615,1747557299,0,1547704080000,0,0,4242,0,1,1
2025-05-18 08:35:01,12693010,5025151012,3414266,3,1747468615,1747557299,0,1547774080000,0,0,4242,0,1,1
2025-05-18 08:35:03,12693010,5025151012,3414266,3,1747468615,1747557299,0,1547824080000,0,0,4242,0,1,1
2025-05-18 08:35:04,12693010,5025151012,3414266,3,1747468615,1747557299,0,1547864080000,0,0,4242,0,1,1
2025-05-18 08:35:06,12693010,5025151012,3414266,3,1747468615,1747557299,0,1547984080000,0,0,4242,0,1,1
2025-05-18 08:35:07,12693010,5025151012,3414266,3,1747468615,1747557299,0,1548034080000,0,0,4242,0,1,1
2025-05-18 08:35:09,12693010,5025151012,3414266,3,1747468615,1747557299,0,1548134080000,0,0,4242,0,1,1
2025-05-18 08:35:10,15410709,5025151012,3414266,3,1747468615,1747557309,0,1548214080000,0,0,4242,0,1,1
2025-05-18 08:35:12,15410709,5025151012,3414266,3,1747468615,1747557309,0,1548234080000,0,0,4242,0,1,1
2025-05-18 08:35:13,15410709,5025151012,3414266,3,1747468615,1747557309,0,1548364080000,0,0,4242,0,1,1
2025-05-18 08:35:15,15410709,5025151012,3414266,3,1747468615,1747557309,0,1548444080000,0,0,4242,0,1,1
2025-05-18 08:35:16,15410709,5025151012,3414266,3,1747468615,1747557309,0,1548514080000,0,0,4242,0,1,1
2025-05-18 08:35:18,15410709,5025151012,3414266,3,1747468615,1747557309,0,1548574080000,0,0,4242,0,1,1
2025-05-18 08:35:19,18035050,5025151012,3414266,3,1747468615,1747557319,0,1548634080000,0,0,4242,0,1,1
2025-05-18 08:35:21,18035050,5025151012,3414266,3,1747468615,1747557319,0,1548694080000,0,0,4242,0,1,1
2025-05-18 08:35:23,18035050,5025151012,3414266,3,1747468615,1747557319,0,1548784080000,0,0,4242,0,1,1
2025-05-18 08:35:24,18035050,5025151012,3414266,3,1747468615,1747557319,0,1548884080000,0,0,4242,0,1,1
2025-05-18 08:35:26,18035050,5025151012,3414266,3,1747468615,1747557319,0,1548914080000,0,0,4242,0,1,1
2025-05-18 08:35:27,18035050,5025151012,3414266,3,1747468615,1747557319,0,1548984080000,0,0,4242,0,1,1
2025-05-18 08:35:29,18035050,5025151012,3414266,3,1747468615,1747557319,0,1549084080000,0,0,4242,0,1,1
2025-05-18 08:35:30,20238819,5025151012,3414266,3,1747468615,1747557329,0,1549134080000,0,0,4242,0,1,1
2025-05-18 08:35:32,20238819,5025151012,3414266,3,1747468615,1747557329,0,1549194080000,0,0,4242,0,1,1
2025-05-18 08:35:33,20238819,5025151012,3414266,3,1747468615,1747557329,0,1549244080000,0,0,4242,0,1,1
2025-05-18 08:35:35,20238819,5025151012,3414266,3,1747468615,1747557329,0,1549294080000,0,0,4242,0,1,1
2025-05-18 08:35:36,20238819,5025151012,3414266,3,1747468615,1747557329,0,1549354080000,0,0,4242,0,1,1
2025-05-18 08:35:38,20238819,5025151012,3414266,3,1747468615,1747557329,0,1549414080000,0,0,4242,0,1,1
2025-05-18 08:35:39,20238819,5025151012,3414266,3,1747468615,1747557329,0,1549464080000,0,0,4242,0,1,1
2025-05-18 08:35:41,21445050,5025151012,3414266,3,1747468615,1747557339,0,1549494080000,0,0,4242,0,1,1
2025-05-18 08:35:42,21445050,5025151012,3414266,3,1747468615,1747557339,0,1549564080000,0,0,4242,0,1,1
2025-05-18 08:35:44,21445050,5025151012,3414266,3,1747468615,1747557339,0,1549624080000,0,0,4242,0,1,1
2025-05-18 08:35:45,21445050,5025151012,3414266,3,1747468615,1747557339,0,1549704080000,0,0,4242,0,1,1
2025-05-18 08:35:47,21445050,5025151012,3414266,3,1747468615,1747557339,0,1549744080000,0,0,4242,0,1,1
2025-05-18 08:35:48,21445050,5025151012,3414266,3,1747468615,1747557339,0,1549824080000,0,0,4242,0,1,1
2025-05-18 08:35:50,22782320,5025151012,3414266,3,1747468615,1747557349,0,1549864080000,0,0,4242,0,1,1
2025-05-18 08:35:51,22782320,5025151012,3414266,3,1747468615,1747557349,0,1549904080000,0,0,4242,0,1,1
2025-05-18 08:35:53,22782320,5025151012,3414266,3,1747468615,1747557349,0,1549974080000,0,0,4242,0,1,1
2025-05-18 08:35:54,22782320,5025151012,3414266,3,1747468615,1747557349,0,1550024080000,0,0,4242,0,1,1
2025-05-18 08:35:56,22782320,5025151012,3414266,3,1747468615,1747557349,0,1550104080000,0,0,4242,0,1,1
